Example Met Data,,
TIMESTAMP,AirT_C,RH_percent
TIMESTAMP,C,percent
TIMESTAMP,C,percent
5/23/15 0:00,-1.002,99.4
5/23/15 0:15,-0.56,99.7
5/23/15 0:30,0.62,98.95
5/23/15 0:45,0.697,98.6
5/23/15 1:00,0.805,98.6
5/23/15 1:15,0.846,97.8
5/23/15 1:30,0.906,95.45
5/23/15 1:45,0.688,95.35
5/23/15 2:00,0.259,97.45
5/23/15 2:15,0.111,97.5
5/23/15 2:30,-0.252,97.3
5/23/15 2:45,-0.617,97.85
5/23/15 3:00,-0.917,97.55
5/23/15 3:15,-1.113,97.6
5/23/15 3:30,-1.403,97.4
5/23/15 3:45,-1.616,97.35
5/23/15 4:00,-1.737,97.55
5/23/15 4:15,-1.869,97.6
5/23/15 4:30,-1.926,97.95
5/23/15 4:45,-2.129,97.5
5/23/15 5:00,-2.264,97.7
5/23/15 5:15,-2.325,97.6
5/23/15 5:30,-2.116,97.65
5/23/15 5:45,-1.849,97.55
5/23/15 6:00,-1.572,97.25
5/23/15 6:15,-1.339,97
5/23/15 6:30,-1.018,97.3
5/23/15 6:45,-0.482,96.65
5/23/15 7:00,-0.071,96.45
5/23/15 7:15,0.499,96.1
5/23/15 7:30,2.066,89.5
5/23/15 7:45,3.232,80.755
5/23/15 8:00,4.397,72.71
5/23/15 8:15,5.737,64.115
5/23/15 8:30,6.057,67.145
5/23/15 8:45,5.992,68.565
5/23/15 9:00,7.049,58.36
5/23/15 9:15,7.161,56.68
5/23/15 9:30,8.24,50.585
5/23/15 9:45,9.57,47.075
5/23/15 10:00,9.59,50.57
5/23/15 10:15,9.41,44.875
5/23/15 10:30,9.12,39.845
5/23/15 10:45,9.97,41.21
5/23/15 11:00,10.56,40.505
5/23/15 11:15,9.76,45.47
5/23/15 11:30,7.607,56.13
5/23/15 11:45,6.777,65.745
5/23/15 12:00,5.165,74.965
5/23/15 12:15,3.929,89.95
5/23/15 12:30,3.32,94.55
5/23/15 12:45,2.855,94
5/23/15 13:00,4.391,87.5
5/23/15 13:15,5.539,79.38
5/23/15 13:30,6.42,68.61
5/23/15 13:45,7.439,60.63
5/23/15 14:00,8.51,52.29
5/23/15 14:15,9.26,48.51
5/23/15 14:30,8.74,45.875
5/23/15 14:45,9.27,47.855
5/23/15 15:00,9.38,49.36
5/23/15 15:15,8.08,55.46
5/23/15 15:30,6.612,60.26
5/23/15 15:45,6.104,63.52
5/23/15 16:00,6.141,64.085
5/23/15 16:15,5.158,78.88
5/23/15 16:30,3.495,92.9
5/23/15 16:45,2.444,92.25
5/23/15 17:00,1.436,95.6
5/23/15 17:15,1.311,96.5
5/23/15 17:30,1.446,96.45
5/23/15 17:45,1.476,96.35
5/23/15 18:00,1.527,94.65
5/23/15 18:15,1.449,93.7
5/23/15 18:30,1.432,92.55
5/23/15 18:45,1.372,94.1
5/23/15 19:00,1.209,97.15
5/23/15 19:15,1.102,96.6
5/23/15 19:30,0.863,95.8
5/23/15 19:45,0.816,95.45
5/23/15 20:00,0.846,94.6
5/23/15 20:15,0.714,94.35
5/23/15 20:30,0.782,92.55
5/23/15 20:45,0.742,92.4
5/23/15 21:00,0.441,92.65
5/23/15 21:15,0.158,90.95
5/23/15 21:30,-0.105,91.05
5/23/15 21:45,-0.165,91.85
5/23/15 22:00,-0.145,92.3
5/23/15 22:15,-0.189,92.85
5/23/15 22:30,-0.232,93.7
5/23/15 22:45,-0.074,93.3
5/23/15 23:00,0.11,92.3
5/23/15 23:15,0.006,92.7
5/23/15 23:30,0.003,93.6
5/23/15 23:45,-0.286,95.65
5/24/15 0:00,-0.435,96.7
5/24/15 0:15,-0.263,94.9
5/24/15 0:30,-0.226,93.6
5/24/15 0:45,-0.206,93.5
5/24/15 1:00,-0.077,94
5/24/15 1:15,-0.097,95.1
5/24/15 1:30,-0.145,95.4
5/24/15 1:45,-0.192,96.55
5/24/15 2:00,-0.337,96.9
5/24/15 2:15,-0.428,97.6
5/24/15 2:30,-0.384,97.65
5/24/15 2:45,-0.401,97.8
5/24/15 3:00,-0.405,97.6
5/24/15 3:15,-0.431,97.3
5/24/15 3:30,-0.445,97.2
5/24/15 3:45,-0.374,96.35
5/24/15 4:00,-0.408,96.2
5/24/15 4:15,-0.408,94.9
5/24/15 4:30,-0.428,95.45
5/24/15 4:45,-0.492,95.45
5/24/15 5:00,-0.536,95.1
5/24/15 5:15,-0.674,94.05
5/24/15 5:30,-1.015,95.45
5/24/15 5:45,-1.211,95.8
5/24/15 6:00,-0.9,94.95
5/24/15 6:15,-0.664,93.95
5/24/15 6:30,-0.003,91.7
5/24/15 6:45,0.448,89.6
5/24/15 7:00,0.775,89.8
5/24/15 7:15,1.793,82.55
5/24/15 7:30,2.033,80.255
5/24/15 7:45,2.639,77.4
5/24/15 8:00,3.478,73.49
5/24/15 8:15,3.535,73.005
5/24/15 8:30,4.145,70.2
5/24/15 8:45,3.895,69.05
5/24/15 9:00,4.519,67.42
5/24/15 9:15,4.731,66.04
5/24/15 9:30,3.212,73.43
