TOA5,CR1000,60955,CR1000.Std.26,CPU:NoNameSapFlux_SouthFace.CR1,1705,NN_SF1
TIMESTAMP,Stem_Temp,Dead_Sensor,Good_data1,Bad_Sections,Good_Incomplete,Erratic_Sensor
TS,Deg C,mV,mV,mV,mV,mV
,Avg,Avg,Avg,Avg,Avg,Avg
5/23/15 7:30,0.36,0,0.93,0.66,1.14,0.45
5/23/15 8:00,1.894,0,0.94,0.66,1.141,0.46
5/23/15 8:30,3.935,0,0.94,0.67,1.133,0.47
5/23/15 9:00,5.837,0,0.93,0.67,1.119,0.47
5/23/15 9:30,7.319,0,0.89,0.67,1.112,0.48
5/23/15 10:00,9.77,0,0.84,0.67,1.1,0.48
5/23/15 10:30,12.75,0,0.82,0.67,1.097,0.45
5/23/15 11:00,12.49,0,0.82,0.66,1.096,0.44
5/23/15 11:30,11.29,0,0.83,0.65,1.092,0.44
5/23/15 12:00,9.37,0,0.84,0.65,1.088,0.44
5/23/15 12:30,6.692,0,0.86,0.65,1.092,0.43
5/23/15 13:00,4.906,0,0.88,0.66,1.101,0.44
5/23/15 13:30,5.891,0,0.9,0.66,1.112,0.45
5/23/15 14:00,11.92,0,0.91,0.66,1.121,0.45
5/23/15 14:30,16.9,0,0.9,0.66,1.114,0.46
5/23/15 15:00,16.96,0,0.89,0.66,1.109,0.45
5/23/15 15:30,14.03,0,0.87,0.66,1.105,0.45
5/23/15 16:00,9.95,0,0.86,0.66,1.107,0.45
5/23/15 16:30,7.255,0,0.85,0.66,1.096,0.44
5/23/15 17:00,4.803,0,0.87,0.66,1.105,0.41
5/23/15 17:30,2.816,0,0.89,0.66,1.115,0.44
5/23/15 18:00,1.998,0,0.91,0.66,1.122,0.44
5/23/15 18:30,1.651,0,0.92,0.66,1.127,0.45
5/23/15 19:00,1.438,0,0.92,0.66,1.128,0.45
5/23/15 19:30,1.293,0,0.91,0.66,1.13,0.45
5/23/15 20:00,1.09,0,0.91,0.65,1.129,0.44
5/23/15 20:30,0.9,0,0.91,0.65,1.128,0.44
5/23/15 21:00,0.67,0,0.91,0.65,1.128,0.44
5/23/15 21:30,0.4,0,0.9,0.64,1.126,0.43
5/23/15 22:00,0.06,0,0.9,0.64,1.125,0.43
5/23/15 22:30,-0.08,0,0.9,0.64,1.125,0.43
5/23/15 23:00,-0.18,0,0.9,0.64,1.126,0.44
5/23/15 23:30,-0.26,0,0.89,0.64,1.125,0.44
5/24/15 0:00,-0.36,0,0.89,0.63,1.125,0.44
5/24/15 0:30,-0.42,0,0.89,0.63,1.127,0.44
5/24/15 1:00,-0.47,0,0.89,0.63,1.128,0.44
5/24/15 1:30,-0.39,0,0.89,0.63,1.126,0.44
5/24/15 2:00,-0.3,0,0.89,0.63,1.126,0.44
5/24/15 2:30,-0.26,0,0.88,0.63,1.126,0.44
5/24/15 3:00,-0.2,0,0.88,0.63,1.125,0.44
5/24/15 3:30,-0.23,0,0.88,0.63,1.126,0.44
5/24/15 4:00,-0.16,0,0.88,0.63,1.125,0.43
5/24/15 4:30,-0.11,0,0.88,0.63,1.125,0.43
5/24/15 5:00,-0.2,0,0.88,0.63,1.125,0.43
5/24/15 5:30,-0.39,0,0.88,0.63,1.125,0.44
5/24/15 6:00,-0.68,0,0.88,0.63,1.126,0.43
5/24/15 6:30,-0.75,0,0.89,0.63,1.128,0.44
5/24/15 7:00,-0.57,0,0.9,0.65,1.128,0.45
5/24/15 7:30,0.83,0,0.93,0.66,1.132,0.44
5/24/15 8:00,2.854,0,0.93,0.66,1.135,0.44
5/24/15 8:30,4.969,0,0.93,0.66,1.131,0.44
5/24/15 9:00,6.093,0,0.92,0.66,1.123,0.44
5/24/15 9:30,6.319,0,0.91,0.67,1.115,0.45
5/24/15 10:00,6.184,0,0.88,0.67,1.113,0.46
5/24/15 10:30,7.468,0,0.87,0.67,1.109,0.45
5/24/15 11:00,7.292,0,0.86,0.67,1.109,0.45
5/24/15 11:30,7.616,0,0.85,0.67,1.104,0.44
5/24/15 12:00,7.474,0,0.85,0.67,1.101,0.42
5/24/15 12:30,10.21,0,0.85,0.66,1.101,0.44
5/24/15 13:00,9.04,0,0.85,0.66,1.103,0.44
5/24/15 13:30,6.532,0,0.86,0.66,1.105,0.43
5/24/15 14:00,4.671,0,0.88,0.66,1.11,0.43
5/24/15 14:30,2.952,0,0.89,0.66,1.116,0.43
5/24/15 15:00,2.104,0,0.9,0.66,1.121,0.44
5/24/15 15:30,2.097,0,0.9,0.66,1.123,0.67
5/24/15 16:00,2.023,0,0.9,0.65,1.124,0.67
5/24/15 16:30,1.487,0,0.9,0.65,1.124,0.67
5/24/15 17:00,1.028,0,0.9,0.65,1.125,0.67
5/24/15 17:30,0.94,0,0.9,0.64,1.128,0.67
5/24/15 18:00,1.189,0,0.89,0.64,1.128,0.67
5/24/15 18:30,1.252,0,0.89,0.64,1.128,0.67
5/24/15 19:00,1.066,0,0.89,0.64,1.129,0.67
5/24/15 19:30,0.87,0,0.89,0.63,1.13,0.67
5/24/15 20:00,0.74,0,0.89,0.63,1.131,0.67
5/24/15 20:30,0.24,0,0.89,0.63,1.13,0.67
5/24/15 21:00,-0.32,0,0.88,0.63,1.127,0.67
5/24/15 21:30,-1.003,0,0.88,0.63,1.124,0.43
5/24/15 22:00,-1.28,0,0.88,0.63,1.125,0.44
5/24/15 22:30,-1.364,0,0.88,0.63,1.126,0.43
5/24/15 23:00,-1.6,0,0.88,0.63,1.126,0.44
5/24/15 23:30,-1.847,0,0.88,0.63,1.127,0.44
5/25/15 0:00,-2.195,0,0.88,0.63,1.127,0.44
5/25/15 0:30,-2.498,0,0.88,0.62,1.128,0.44
5/25/15 1:00,-2.797,0,0.88,0.62,1.131,0.44
5/25/15 1:30,-3.09,0,0.88,0.62,1.13,0.45
5/25/15 2:00,-3.353,0,0.88,0.62,1.131,0.45
5/25/15 2:30,-3.637,0,0.88,0.62,1.132,0.45
5/25/15 3:00,-3.544,0,0.88,0.62,1.134,0.45
5/25/15 3:30,-3.277,0,0.88,0.62,1.133,0.44
